Year,site,WL_mean,WL_sd,WL_min,WL_max,max_inc,max_dec,prop_GS_comp,GS_change,prop_over_0cm,prop_bet_0_neg30cm,prop_under_neg30cm
2021,plot.4,24.99907738095236,11.137376051969213,8.9,76.5,15.9,-2,100,12.677916666666672,100,0,0
2022,plot.4,16.216785714285702,8.876833671432694,1.3,48.5,10.599999999999998,-2.3999999999999986,100,7.063055555555554,100,0,0
2016,plot.5,6.742738095238093,4.073682145058819,-1.6,17.3,2.9,-4.300000000000001,100,-2.3001388888888887,99.55357142857143,0.625,0
2017,plot.5,6.782827380952403,6.517011406456981,-3,31,4.4,-3.4000000000000004,100,-7.8958333333333375,88.95833333333333,11.93452380952381,0
2018,plot.5,12.934047619047607,4.447453953261697,6,36.9,5.1000000000000005,-6,100,7.0316666666666645,100,0,0
2019,plot.5,5.463222156045283,5.435792190658822,-3,42.9,6.099999999999998,-4.1,99.94047619047619,-8.405555555555555,92.82310899344847,8.308516974389518,0
2020,plot.5,13.10258928571426,8.957774775535025,3.6,62.9,5.6,-10.399999999999999,100,-3.6536111111111165,100,0,0
2021,plot.5,43.92764880952377,12.057920175046009,28.4,94.4,14.700000000000003,-5.799999999999997,100,14.797499999999992,100,0,0
2022,plot.5,31.553988095238097,8.964777202730074,13.5,67.4,2.8999999999999986,-1.2999999999999972,100,8.573611111111113,100,0,0
2016,plot.6,-25.845565476190465,4.021535283100556,-32.9,-16,2,-1.9000000000000021,100,-7.346250000000001,0,80.11904761904762,19.88095238095238
2017,plot.6,-28.69883928571425,6.923779422145015,-117.4,-11.9,81.60000000000001,-80.9,100,-9.18513888888889,0,48.839285714285715,51.160714285714285
2018,plot.6,-26.767321428571456,4.779239984523533,-38.3,-13.3,3.299999999999999,-2.8000000000000007,100,-1.7558333333333422,0,71.8452380952381,28.154761904761905
2019,plot.6,-20.812686122692117,7.764672554474998,-32.8,16.6,25.9,-3.4000000000000004,99.94047619047619,-15.332638888888887,1.1316259678379987,88.80285884455033,10.095294818344252
2020,plot.6,-21.69053571428577,8.660453057867427,-32.7,20.4,8.5,-4.599999999999998,100,-5.646111111111114,4.434523809523809,83.125,12.470238095238095
2021,plot.6,-4.972321428571461,11.153353157708706,-17,48,33.6,-2.3000000000000007,100,12.548611111111105,14.880952380952381,85.20833333333333,0
2022,plot.6,-13.22059523809523,7.146571528456837,-27.7,20.7,13.7,-1,100,6.776666666666664,2.619047619047619,97.41071428571428,0
